listing_city_id,listed_in(city)
1,Electronic City
2,MG Road
3,HSR
4,Whitefield
5,JP Nagar
6,Frazer Town
7,BTM
8,Koramangala 7th Block
9,Koramangala 4th Block
10,Koramangala 6th Block
11,Malleshwaram
12,Bellandur
13,Kammanahalli
14,Church Street
15,Jayanagar
16,Sarjapur Road
17,Basavanagudi
18,Koramangala 5th Block
19,Residency Road
20,Lavelle Road
21,Old Airport Road
22,Brigade Road
23,Kalyan Nagar
24,Indiranagar
25,New BEL Road
26,Bannerghatta Road
27,Marathahalli
28,Rajajinagar
29,Banashankari
30,Brookefield
