location_id,location
1,Electronic City
2,Residency Road
3,HSR
4,KR Puram
5,JP Nagar
6,Frazer Town
7,Jayanagar
8,BTM
9,Malleshwaram
10,Marathahalli
11,Kammanahalli
12,Commercial Street
13,Basavanagudi
14,Sarjapur Road
15,Koramangala 1st Block
16,Vasanth Nagar
17,CV Raman Nagar
18,Koramangala 7th Block
19,MG Road
20,Koramangala 4th Block
21,Brigade Road
22,Indiranagar
23,Koramangala 5th Block
24,Kumaraswamy Layout
25,City Market
26,Koramangala 6th Block
27,Hennur
28,Whitefield
29,Ulsoor
30,New BEL Road
31,Bannerghatta Road
32,Richmond Road
33,Bellandur
34,Old Airport Road
35,Koramangala 3rd Block
36,Nagawara
37,Church Street
38,Kalyan Nagar
39,Wilson Garden
40,Varthur Main Road
41,Race Course Road
42,Brookefield
43,Koramangala 8th Block
44,Magadi Road
45,Jeevan Bhima Nagar
46,Cunningham Road
47,St. Marks Road
48,Sanjay Nagar
49,Bommanahalli
50,Shanti Nagar
51,Banashankari
52,HBR Layout
53,Lavelle Road
54,Hosur Road
55,Banaswadi
56,Jalahalli
57,Shivajinagar
58,Yelahanka
59,Rajajinagar
60,Sadashiv Nagar
61,Domlur
62,Old Madras Road
63,Koramangala 2nd Block
64,Koramangala
65,Majestic
66,Infantry Road
67,Basaveshwara Nagar
68,Nagarbhavi
69,Thippasandra
70,Yeshwantpur
71,South Bangalore
72,Ejipura
73,Vijay Nagar
74,ITPL Main Road
75,Sankey Road
76,RT Nagar
77,Sahakara Nagar
78,East Bangalore
79,Langford Town
80,North Bangalore
81,Kaggadasapura
82,West Bangalore
83,Seshadripuram
84,Rammurthy Nagar
85,Unknown
86,Mysore Road
87,Uttarahalli
88,Hebbal
89,Kanakapura Road
90,Kengeri
